Survey,Data_entity,Col_name_exp,Col_name_new,Col_type
EMP,Stations,Station,Station,character
EMP,Stations,Latitude,Latitude,numeric
EMP,Stations,Longitude,Longitude,numeric
EMP,Data,Station,Station,character
EMP,Data,Date,Date,character
EMP,Data,Time,Time,character
EMP,Data,FieldNotes,Notes,character
EMP,Data,Latitude,Latitude,numeric
EMP,Data,Longitude,Longitude,numeric
EMP,Data,Chla_Sign,Chlorophyll_Sign,character
EMP,Data,Chla,Chlorophyll,numeric
EMP,Data,Pheoa_Sign,Pheophytin_Sign,character
EMP,Data,Pheoa,Pheophytin,numeric
EMP,Data,TotAlkalinity_Sign,TotAlkalinity_Sign,character
EMP,Data,TotAlkalinity,TotAlkalinity,numeric
EMP,Data,TotAmmonia_Sign,TotAmmonia_Sign,character
EMP,Data,TotAmmonia,TotAmmonia,numeric
EMP,Data,DissAmmonia_Sign,DissAmmonia_Sign,character
EMP,Data,DissAmmonia,DissAmmonia,numeric
EMP,Data,DissBromide_Sign,DissBromide_Sign,character
EMP,Data,DissBromide,DissBromide,numeric
EMP,Data,DissCalcium_Sign,DissCalcium_Sign,character
EMP,Data,DissCalcium,DissCalcium,numeric
EMP,Data,TotChloride_Sign,TotChloride_Sign,character
EMP,Data,TotChloride,TotChloride,numeric
EMP,Data,DissChloride_Sign,DissChloride_Sign,character
EMP,Data,DissChloride,DissChloride,numeric
EMP,Data,DissNitrateNitrite_Sign,DissNitrateNitrite_Sign,character
EMP,Data,DissNitrateNitrite,DissNitrateNitrite,numeric
EMP,Data,DOC_Sign,DOC_Sign,character
EMP,Data,DOC,DOC,numeric
EMP,Data,TOC_Sign,TOC_Sign,character
EMP,Data,TOC,TOC,numeric
EMP,Data,DON_Sign,DON_Sign,character
EMP,Data,DON,DON,numeric
EMP,Data,TON_Sign,TON_Sign,character
EMP,Data,TON,TON,numeric
EMP,Data,DissOrthophos_Sign,DissOrthophos_Sign,character
EMP,Data,DissOrthophos,DissOrthophos,numeric
EMP,Data,TotPhos_Sign,TotPhos_Sign,character
EMP,Data,TotPhos,TotPhos,numeric
EMP,Data,DissSilica_Sign,DissSilica_Sign,character
EMP,Data,DissSilica,DissSilica,numeric
EMP,Data,TDS_Sign,TDS_Sign,character
EMP,Data,TDS,TDS,numeric
EMP,Data,TSS_Sign,TSS_Sign,character
EMP,Data,TSS,TSS,numeric
EMP,Data,VSS_Sign,VSS_Sign,character
EMP,Data,VSS,VSS,numeric
EMP,Data,TKN_Sign,TKN_Sign,character
EMP,Data,TKN,TKN,numeric
EMP,Data,WaterDepth,Depth,numeric
EMP,Data,Secchi,Secchi,numeric
EMP,Data,Microcystis,Microcystis,numeric
EMP,Data,SpCndSurface,Conductivity,numeric
EMP,Data,DOSurface,DissolvedOxygen,numeric
EMP,Data,DOpercentSurface,DissolvedOxygenPercent,numeric
EMP,Data,WaterTempSurface,Temperature,numeric
EMP,Data,TurbiditySurface,,numeric
EMP,Data,pHSurface,pH,numeric
EMP,Data,SpCndBottom,Conductivity_bottom,numeric
EMP,Data,DOBottom,DissolvedOxygen_bottom,numeric
EMP,Data,DOpercentBottom,DissolvedOxygenPercent_bottom,numeric
EMP,Data,WaterTempBottom,Temperature_bottom,numeric
EMP,Data,TurbidityBottom,,numeric
EMP,Data,pHBottom,pH_bottom,numeric
DJFMP,df_stations,StationCode,Station,character
DJFMP,df_stations,Latitude,Latitude,numeric
DJFMP,df_stations,Longitude,Longitude,numeric
DJFMP,df_data_1976_2001,StationCode,Station,character
DJFMP,df_data_1976_2001,SampleDate,Date,character
DJFMP,df_data_1976_2001,SampleTime,Time,character
DJFMP,df_data_1976_2001,DO,DissolvedOxygen,numeric
DJFMP,df_data_1976_2001,WaterTemp,Temperature,numeric
DJFMP,df_data_1976_2001,Turbidity,TurbidityNTU,numeric
DJFMP,df_data_1976_2001,Secchi,Secchi,numeric
DJFMP,df_data_1976_2001,SpecificConductance,Conductivity,numeric
DJFMP,df_data_2002_curr,StationCode,Station,character
DJFMP,df_data_2002_curr,SampleDate,Date,character
DJFMP,df_data_2002_curr,SampleTime,Time,character
DJFMP,df_data_2002_curr,DO,DissolvedOxygen,numeric
DJFMP,df_data_2002_curr,WaterTemp,Temperature,numeric
DJFMP,df_data_2002_curr,Turbidity,TurbidityNTU,numeric
DJFMP,df_data_2002_curr,Secchi,Secchi,numeric
DJFMP,df_data_2002_curr,SpecificConductance,Conductivity,numeric
NCRO,Data_lab,station_number,StationNumber,character
NCRO,Data_lab,sample_code,SampleCode,character
NCRO,Data_lab,sample_date,Datetime,character
NCRO,Data_lab,parameter,Analyte,character
NCRO,Data_lab,result,Result,character
NCRO,Data_lab,reporting_limit,RL,character
NCRO,Data_lab,units,Units,character
NCRO,Data_field,station_number,StationNumber,character
NCRO,Data_field,sample_code,SampleCode,character
NCRO,Data_field,sample_date,Datetime,character
NCRO,Data_field,parameter,Analyte,character
NCRO,Data_field,fdr_result,Result,numeric
NCRO,Data_field,uns_name,Units,character
DOP,df_data,Date,Date,character
DOP,df_data,Start_Time,Time,character
DOP,df_data,Station_Code,Station_Code,character
DOP,df_data,Habitat,Habitat,character
DOP,df_data,Latitude,Latitude,numeric
DOP,df_data,Longitude,Longitude,numeric
DOP,df_data,Start_Depth,Depth,numeric
DOP,df_data,Temperature,Temperature,numeric
DOP,df_data,Conductivity,Conductivity,numeric
DOP,df_data,Turbidity,TurbidityFNU,numeric
DOP,df_data,pH,pH,numeric
DOP,df_data,Salinity,Salinity,numeric
DOP,df_data,DO,DissolvedOxygen,numeric
DOP,df_data,Chl_a,Chlorophyll,numeric
DOP,df_data,Secchi,Secchi,numeric
EDSM,df_data_20mm,StationCode,Station,character
EDSM,df_data_20mm,SampleDate,Date,character
EDSM,df_data_20mm,SampleTime,Time,character
EDSM,df_data_20mm,LatitudeStart,Latitude,numeric
EDSM,df_data_20mm,LongitudeStart,Longitude,numeric
EDSM,df_data_20mm,Comments,Notes,character
EDSM,df_data_20mm,Tide,Tide,character
EDSM,df_data_20mm,BottomDepth,Depth,numeric
EDSM,df_data_20mm,Secchi,Secchi,numeric
EDSM,df_data_20mm,WaterTempTop,Temperature,numeric
EDSM,df_data_20mm,WaterTempBottom,Temperature_bottom,numeric
EDSM,df_data_20mm,SpecificConductanceTop,Conductivity,numeric
EDSM,df_data_20mm,SpecificConductanceBottom,Conductivity_bottom,numeric
EDSM,df_data_20mm,TurbidityTopFNU,TurbidityFNU,numeric
EDSM,df_data_20mm,TurbidityTopNTU,TurbidityNTU,numeric
EDSM,df_data_20mm,TurbidityBottom,TurbidityNTU_bottom,numeric
EDSM,df_data_20mm,DOTop,DissolvedOxygen,numeric
EDSM,df_data_20mm,DOBottom,DissolvedOxygen_bottom,numeric
EDSM,df_data_KDTR,StationCode,Station,character
EDSM,df_data_KDTR,SampleDate,Date,character
EDSM,df_data_KDTR,SampleTime,Time,character
EDSM,df_data_KDTR,LatitudeStart,Latitude,numeric
EDSM,df_data_KDTR,LongitudeStart,Longitude,numeric
EDSM,df_data_KDTR,Comments,Notes,character
EDSM,df_data_KDTR,Tide,Tide,character
EDSM,df_data_KDTR,BottomDepth,Depth,numeric
EDSM,df_data_KDTR,Secchi,Secchi,numeric
EDSM,df_data_KDTR,WaterTemp,Temperature,numeric
EDSM,df_data_KDTR,SpecificConductance,Conductivity,numeric
EDSM,df_data_KDTR,TurbidityNTU,TurbidityNTU,numeric
EDSM,df_data_KDTR,TurbidityFNU,TurbidityFNU,numeric
EDSM,df_data_KDTR,DO,DissolvedOxygen,numeric
20mm,df_stations,Station,Station,character
20mm,df_stations,LatD,LatD,numeric
20mm,df_stations,LatM,LatM,numeric
20mm,df_stations,LatS,LatS,numeric
20mm,df_stations,LonD,LonD,numeric
20mm,df_stations,LonM,LonM,numeric
20mm,df_stations,LonS,LonS,numeric
20mm,df_data,StationID,StationID,character
20mm,df_data,SurveyID,SurveyID,character
20mm,df_data,Station,Station,character
20mm,df_data,StartLatDeg,StartLatDeg,numeric
20mm,df_data,StartLatMin,StartLatMin,numeric
20mm,df_data,StartLatSec,StartLatSec,numeric
20mm,df_data,StartLonDeg,StartLonDeg,numeric
20mm,df_data,StartLonMin,StartLonMin,numeric
20mm,df_data,StartLonSec,StartLonSec,numeric
20mm,df_data,Temp,Temperature,numeric
20mm,df_data,TopEC,Conductivity,numeric
20mm,df_data,BottomEC,Conductivity_bottom,numeric
20mm,df_data,Secchi,Secchi,numeric
20mm,df_data,NTU,TurbidityNTU,numeric
20mm,df_data,Comments,Notes,character
20mm,df_data,FNU,TurbidityFNU,numeric
20mm,df_survey,SurveyID,SurveyID,character
20mm,df_survey,SampleDate,Date,character
20mm,df_tow,StationID,StationID,character
20mm,df_tow,TowNum,TowNum,numeric
20mm,df_tow,TowTime,Time,character
20mm,df_tow,Tide,Tide,numeric
20mm,df_tow,BottomDepth,Depth,numeric
SKT,df_stations,Station,Station,character
SKT,df_stations,LatDeg,LatDeg,numeric
SKT,df_stations,LatMin,LatMin,numeric
SKT,df_stations,LatSec,LatSec,numeric
SKT,df_stations,LongDec,LongDec,numeric
SKT,df_stations,LongMin,LongMin,numeric
SKT,df_stations,LongSec,LongSec,numeric
SKT,df_data,SampleDate,Date,character
SKT,df_data,Station,Station,character
SKT,df_data,SampleTimeStart,Time,character
SKT,df_data,Secchi,Secchi,numeric
SKT,df_data,ConductivityTop,Conductivity,numeric
SKT,df_data,WaterTemperature,Temperature,numeric
SKT,df_data,NTU,TurbidityNTU,numeric
SKT,df_data,DepthBottom,Depth,numeric
SKT,df_data,TideCode,Tide,numeric
SKT,df_data,StartLatitude,Latitude,character
SKT,df_data,StartLongitude,Longitude,character
SKT,df_data,SampleComments,Notes,character
SKT,df_data,FNU,TurbidityFNU,numeric
Baystudy,df_stations,Station,Station,character
Baystudy,df_stations,Latitude,Latitude,character
Baystudy,df_stations,Longitude,Longitude,character
Baystudy,df_tide_codes,Tide,Tide,numeric
Baystudy,df_tide_codes,Description,Description,character
Baystudy,df_boat_station,Year,Year,numeric
Baystudy,df_boat_station,Survey,Survey,numeric
Baystudy,df_boat_station,Station,Station,character
Baystudy,df_boat_station,Date,Date,character
Baystudy,df_boat_station,Depth,Depth,numeric
Baystudy,df_boat_station,Secchi,Secchi,numeric
Baystudy,df_boat_station,Tide,Tide,numeric
Baystudy,df_sal_wt,Year,Year,numeric
Baystudy,df_sal_wt,Survey,Survey,numeric
Baystudy,df_sal_wt,Station,Station,character
Baystudy,df_sal_wt,ECSurf,Conductivity,numeric
Baystudy,df_sal_wt,ECBott,Conductivity_bottom,numeric
