Survey,Data_entity,Data_entity_regex,Source,Read_function,Date_format,Time_format,Datetime_format,Time_zone,Depth_unit,Secchi_unit,Standardize_tide,Convert_coordinates
20mm,df_stations,20mmStations,EDI,read_csv,,,,,,,FALSE,DMS
20mm,df_data,^Station$,EDI,read_csv,,,,,,centimeters,FALSE,DMS
20mm,df_survey,^Survey$,EDI,read_csv,Ymd,,,,,,FALSE,
20mm,df_tow,^Tow$,EDI,read_csv,,Ymd HMS,,,feet,,TRUE,
Baystudy,df_stations,Bay Study_Station Coordinates,data-raw/Baystudy,read_excel,,,,,,,FALSE,
Baystudy,df_tide_codes,TideCodes_LookUp,data-raw/Baystudy,read_csv,,,,,,,FALSE,
Baystudy,df_boat_station,BoatStation,data-raw/Baystudy,read_csv,mdY HMS,,,,meters,centimeters,FALSE,
Baystudy,df_sal_wt,SalinTemp,data-raw/Baystudy,read_csv,,,,,,,FALSE,
Baystudy,df_boat_tow,BoatTow,data-raw/Baystudy,read_csv,,mdY HMS,,,,,FALSE,
DJFMP,df_stations,Site_Locations,EDI,read_csv,,,,,,,FALSE,
DJFMP,df_data_1976_2001,1976.+DJFMP_trawl,EDI,read_csv,mdY,HMS,,,,meters,FALSE,
DJFMP,df_data_2002_curr,2002.+DJFMP_trawl,EDI,read_csv,mdY,HMS,,,,meters,FALSE,
DOP,df_data,TowData,EDI,read_csv,Ymd,HMS,,,feet,centimeters,FALSE,
EDSM,df_data_20mm,EDSM_20mm,EDI,read_csv,Ymd,HMS,,,feet,meters,FALSE,
EDSM,df_data_KDTR,EDSM_KDTR,EDI,read_csv,Ymd,HM,,,meters,meters,FALSE,
EMP,df_stations,Stations,EDI,read_csv,,,,,,,FALSE,
EMP,df_data,EMP_DWQ_\d{4},EDI,read_csv,,,,,,,FALSE,
FMWT,df_data,FMWT \d{4}-\d{4} Catch Matrix,EDI,read_csv,Ymd,HM,,,feet,meters,TRUE,
FMWT,df_sample,Sample,data-raw/FMWT,read_csv,mdY HMS,,,,,,FALSE,
NCRO,df_data_lab,cnra_lab_data,CNRA,read_csv,,,Ymd HMS,Etc/GMT+8,,,FALSE,
NCRO,df_data_field,cnra_field_data,CNRA,read_csv,,,Ymd HMS,Etc/GMT+8,,,FALSE,
NCRO,df_data_MVI_Secchi,^qry_HabObs,data-raw/NCRO,read_excel,,,,,,meters,FALSE,
SDO,df_stations,IEP_DOSDWSC_site_locations,EDI,read_csv,,,,,,,FALSE,
SDO,df_data_1997_2018,IEP_DOSDWSC_1997_2018,EDI,read_csv,mdY,,,,,centimeters,FALSE,
SDO,df_data_2021_curr,DiscreteDORunData\d{4}\.xlsx$,data-raw/SDO,read_excel,,,,,feet,centimeters,FALSE,
SKT,df_stations,StationsSKT,data-raw/SKT,read_csv,,,,,,,FALSE,DMS
SKT,df_data,tblSample,data-raw/SKT,read_csv,mdY HMS,mdY HMS,,,feet,centimeters,TRUE,
SLS,df_stations,^Station,EDI,read_csv,,,,,,,FALSE,
SLS,df_tow,^TowInfo,EDI,read_csv,Ymd,HM,,,feet,,TRUE,
SLS,df_water_info,^WaterInfo,EDI,read_csv,Ymd,,,,,centimeters,FALSE,
STN,df_stations,luStation,data-raw/STN,read_csv,,,,,,,FALSE,DMS
STN,df_data,CatchPerTow,EDI,read_csv,mdY,HM,,,feet,centimeters,TRUE,DMS
Suisun,df_stations,^Stations,EDI,read_csv,,,,,,,FALSE,
Suisun,df_sample,^Sample,EDI,read_csv,mdY HM,mdY HMS,,,,centimeters,FALSE,
Suisun,df_depth,^Depth,EDI,read_csv,,,,,meters,,FALSE,
USBR,df_stations,USBRSiteLocations,data-raw/USBR,read_csv,,,,,meters,,FALSE,
USBR,df_data,YSILongTermSites,data-raw/USBR,read_csv,,,Ymd HMS,America/Los_Angeles,,,FALSE,
USGS_CAWSC,df_data,usgs_samples_data,USGS_samples,read_csv,Ymd,HMS,,,,,FALSE,
USGS_SFBS,df_stations_1969_2015,station_locations1969,USGS_scibase,read_csv,,,,,,,FALSE,
USGS_SFBS,df_data_1969_2015,WaterQualityData1969,USGS_scibase,read_csv,mdy,HM,,,,,FALSE,
USGS_SFBS,df_stations_2016_2021,TableofStationLocations,USGS_scibase,read_csv,,,,,,,FALSE,
USGS_SFBS,df_data_2016_2021,2016.+WaterQualityData,USGS_scibase,read_csv,mdy,HM,,,,,FALSE,
USGS_SFBS,df_data_website,^wqdata,data-raw/USGS_SFBS,read_csv,Ymd,HM,,,,,FALSE,
YBFMP_fish,df_stations,^Stations,EDI,read_csv,,,,,,,FALSE,
YBFMP_fish,df_data,^Water Quality and Environmental Data,EDI,read_csv,,,mdY HM,America/Los_Angeles,,meters,FALSE,
YBFMP_zoop,df_stations,^Stations,EDI,read_csv,,,,,,,FALSE,
YBFMP_zoop,df_data,^Zooplankton Data,EDI,read_csv,,,Ymd HMS,America/Los_Angeles,,meters,FALSE,
