Survey,Data_entity,Data_entity_regex,Date_format,Time_format,Time_zone,Depth_unit,Secchi_unit
20mm,df_stations,20mmStations,,,,,
20mm,df_data,(?<!m)Station,,,,,centimeters
20mm,df_survey,Survey,,,,,
20mm,df_tow,Tow,,,,feet,
DJFMP,df_stations,Site_Locations,,,,,
DJFMP,df_data_1976_2001,1976.+DJFMP_trawl,mdY,HMS,America/Los_Angeles,,meters
DJFMP,df_data_2002_curr,2002.+DJFMP_trawl,mdY,HMS,America/Los_Angeles,,meters
DOP,df_data,TowData,Ymd,HMS,America/Los_Angeles,feet,centimeters
EDSM,df_data_20mm,EDSM_20mm,Ymd,HMS,America/Los_Angeles,feet,meters
EDSM,df_data_KDTR,EDSM_KDTR,Ymd,HMS,America/Los_Angeles,meters,meters
EMP,,,,,,,
YBFMP_fish,df_stations,Stations,,,,,
YBFMP_fish,df_data,Water Quality and Environmental Data,,,,,
YBFMP_zoop,df_stations,Stations,,,,,
YBFMP_zoop,df_data,Zooplankton Data,,,,,
SLS,df_stations,Station,,,,,
SLS,df_tow,TowInfo,,,,feet,
SLS,df_water_info,WaterInfo,,,,,centimeters
Suisun,df_stations,Stations,,,,,
Suisun,df_sample,Sample,,,,,centimeters
Suisun,df_depth,Depth,,,,meters,
FMWT,df_data,Catch Matrix\.csv,Ymd,HM,America/Los_Angeles,feet,meters
SDO,df_stations,IEP_DOSDWSC_site_locations,,,,,
SDO,df_data_1997_2018,IEP_DOSDWSC_1997_2018,,,,,
