"SurveyID","SampleDate","Survey","Comments"
1,4/24/1995 0:00:00,1,
2,4/25/1995 0:00:00,1,
3,4/26/1995 0:00:00,1,
4,4/27/1995 0:00:00,1,
5,4/28/1995 0:00:00,1,
6,5/8/1995 0:00:00,2,
7,5/9/1995 0:00:00,2,
8,5/10/1995 0:00:00,2,
9,5/11/1995 0:00:00,2,
10,5/12/1995 0:00:00,2,
11,5/22/1995 0:00:00,3,
12,5/23/1995 0:00:00,3,
13,5/24/1995 0:00:00,3,
14,5/25/1995 0:00:00,3,
15,5/26/1995 0:00:00,3,
16,6/5/1995 0:00:00,4,
17,6/6/1995 0:00:00,4,
18,6/7/1995 0:00:00,4,
19,6/8/1995 0:00:00,4,
20,6/9/1995 0:00:00,4,
21,6/19/1995 0:00:00,5,
22,6/20/1995 0:00:00,5,
23,6/21/1995 0:00:00,5,
24,6/22/1995 0:00:00,5,
25,6/23/1995 0:00:00,5,
26,6/24/1995 0:00:00,5,
27,7/3/1995 0:00:00,6,
28,7/4/1995 0:00:00,6,
29,7/5/1995 0:00:00,6,
30,7/6/1995 0:00:00,6,
31,7/7/1995 0:00:00,6,
32,7/10/1995 0:00:00,6,
33,7/17/1995 0:00:00,7,
34,7/18/1995 0:00:00,7,
35,7/19/1995 0:00:00,7,
36,7/20/1995 0:00:00,7,
37,7/21/1995 0:00:00,7,
38,7/24/1995 0:00:00,7,
39,7/31/1995 0:00:00,8,
40,8/1/1995 0:00:00,8,
41,8/3/1995 0:00:00,8,
42,8/4/1995 0:00:00,8,
43,8/7/1995 0:00:00,8,
44,8/8/1995 0:00:00,8,
45,4/10/1996 0:00:00,1,
46,4/11/1996 0:00:00,1,
47,4/12/1996 0:00:00,1,
48,4/13/1996 0:00:00,1,
49,4/14/1996 0:00:00,1,
50,4/16/1996 0:00:00,1,
51,4/17/1996 0:00:00,1,
52,4/24/1996 0:00:00,2,
53,4/25/1996 0:00:00,2,
54,4/26/1996 0:00:00,2,
55,4/27/1996 0:00:00,2,
56,4/28/1996 0:00:00,2,
57,4/29/1996 0:00:00,2,
