Year,Month,Sample Name,Analyte,Reporting Limit
2019,10,C3A,Dissolved Orthophosphate,0.16
2019,10,C9,Dissolved Orthophosphate,0.16
2019,10,C10A,Dissolved Orthophosphate,0.16
2019,10,D12,Dissolved Orthophosphate,0.16
2019,10,D19,Dissolved Orthophosphate,0.16
2019,10,D28A,Dissolved Orthophosphate,0.16
2019,10,D4,Dissolved Orthophosphate,0.05
2019,10,D22,Dissolved Orthophosphate,0.05
2019,10,NZ068,Dissolved Orthophosphate,0.05
2019,10,D6,Dissolved Orthophosphate,0.05
2019,10,D8,Dissolved Orthophosphate,0.05
2019,10,D10,Dissolved Orthophosphate,0.05
2019,10,D7,Dissolved Orthophosphate,0.05
2019,10,NZS42,Dissolved Orthophosphate,0.05
2019,10,NZ032,Dissolved Orthophosphate,0.05
2019,10,D41A,Dissolved Orthophosphate,0.05
2019,10,D41,Dissolved Orthophosphate,0.05
2019,10,NZ325,Dissolved Orthophosphate,0.05
2019,10,NZ002,Dissolved Orthophosphate,0.05
2019,10,NZ004,Dissolved Orthophosphate,0.05
2019,10,EZ6,Dissolved Orthophosphate,0.05
2019,10,EZ2,Dissolved Orthophosphate,0.05
2019,11,C3A,Dissolved Orthophosphate,0.16
2019,11,C9,Dissolved Orthophosphate,0.16
2019,11,C10A,Dissolved Orthophosphate,0.16
2019,11,D12,Dissolved Orthophosphate,0.05
2019,11,D19,Dissolved Orthophosphate,0.05
2019,11,D28A,Dissolved Orthophosphate,0.05
2019,11,D16,Dissolved Orthophosphate,0.05
2019,11,D26,Dissolved Orthophosphate,0.05
2019,11,MD10A,Dissolved Orthophosphate,0.05
2019,11,P8,Dissolved Orthophosphate,0.05
2019,11,D4,Dissolved Orthophosphate,1.6
2019,11,D22,Dissolved Orthophosphate,0.16
2019,11,NZ068,Dissolved Orthophosphate,0.16
2019,11,D6,Dissolved Orthophosphate,0.05
2019,11,D8,Dissolved Orthophosphate,0.05
2019,11,D10,Dissolved Orthophosphate,0.05
2019,11,D7,Dissolved Orthophosphate,8
2019,11,NZS42,Dissolved Orthophosphate,3.2
2019,11,NZ032,Dissolved Orthophosphate,3.2
2019,11,D41A,Dissolved Orthophosphate,0.05
2019,11,D41,Dissolved Orthophosphate,0.05
2019,11,NZ325,Dissolved Orthophosphate,0.05
2019,11,NZ002,Dissolved Orthophosphate,0.05
2019,11,NZ004,Dissolved Orthophosphate,0.05
2019,11,EZ6,Dissolved Orthophosphate,0.05
2019,11,EZ2,Dissolved Orthophosphate,0.16
2019,10,D6,Dissolved Nitrate+Nitrite,7.5
2019,10,D8,Dissolved Nitrate+Nitrite,3
2019,10,D10,Dissolved Nitrate+Nitrite,1.5
2019,10,D7,Dissolved Nitrate+Nitrite,7.5
2019,10,NZS42,Dissolved Nitrate+Nitrite,3
2019,10,NZ032,Dissolved Nitrate+Nitrite,3
2019,10,D41A,Dissolved Nitrate+Nitrite,15
2019,10,D41,Dissolved Nitrate+Nitrite,15
2019,10,NZ325,Dissolved Nitrate+Nitrite,15
2019,10,NZ002,Dissolved Nitrate+Nitrite,15
2019,10,NZ004,Dissolved Nitrate+Nitrite,15
2019,10,EZ6,Dissolved Nitrate+Nitrite,1.5
2019,11,D6,Dissolved Nitrate+Nitrite,0.15
2019,11,D10,Dissolved Nitrate+Nitrite,0.15
2019,11,D7,Dissolved Nitrate+Nitrite,7.5
2019,11,NZS42,Dissolved Nitrate+Nitrite,3
2019,11,NZ032,Dissolved Nitrate+Nitrite,3
2019,11,D41A,Dissolved Nitrate+Nitrite,15
2019,11,D41,Dissolved Nitrate+Nitrite,15
2019,11,NZ325,Dissolved Nitrate+Nitrite,15
2019,11,NZ002,Dissolved Nitrate+Nitrite,15
2019,11,NZ004,Dissolved Nitrate+Nitrite,15
