DataOwner,DataStatus,LongStationName,ShortStationName,StationNumber,SampleCode,CollectionDate,Analyte,CASReg_Number,Result,RptLimit,Units,Method,Depth,Matrix,SampleType,ParentSample,Description,Notes,ResultRejected
6301,"3000 - Public, Review Status Unknown",Middle River @ Union Point - P10A,MR@UnionPt/P10A,B9D75351292,CFB0400B0047,04/11/2000 06:04,Chlorophyll a,479618,0.98,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
6301,"3500 - Public, Reviewed and Validated",Middle River @ Union Point - P10A,MR@UnionPt/P10A,B9D75351292,CFZ0400B3808,04/11/2000 06:04,Chlorophyll a,479618,1.4,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Replicate Sample,CFB0400B0047,0047 Dup,,N
6301,"3500 - Public, Reviewed and Validated",Middle River @ Union Point - P10A,MR@UnionPt/P10A,B9D75351292,CFZ0400B3808,04/11/2000 06:04,Pheophytin a,0,1.12,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Replicate Sample,CFB0400B0047,0047 Dup,,N
6301,"3000 - Public, Review Status Unknown",Middle River @ Union Point - P10A,MR@UnionPt/P10A,B9D75351292,CFB0400B0047,04/11/2000 06:04,Pheophytin a,0,0.71,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
6301,"3000 - Public, Review Status Unknown",Middle R @ Tracy Rd Bdg,MRIVTRACY,B9D75291273,CFB0400B0046,04/11/2000 06:30,Chlorophyll a,479618,0.92,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
6301,"3500 - Public, Reviewed and Validated",Middle R @ Tracy Rd Bdg,MRIVTRACY,B9D75291273,CFB0400B0042,04/11/2000 06:30,Chlorophyll a,479618,<0.05,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Replicate Sample,CFB0400B0046,,Sample envelope was empty. No filter.,N
6301,"3500 - Public, Reviewed and Validated",Middle R @ Tracy Rd Bdg,MRIVTRACY,B9D75291273,CFZ0400B3807,04/11/2000 06:30,Chlorophyll a,479618,1.44,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Replicate Sample,CFB0400B0046,0046 Dup,,N
6301,"3500 - Public, Reviewed and Validated",Middle R @ Tracy Rd Bdg,MRIVTRACY,B9D75291273,CFZ0400B3807,04/11/2000 06:30,Pheophytin a,0,1.86,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Replicate Sample,CFB0400B0046,0046 Dup,,N
6301,"3000 - Public, Review Status Unknown",Middle R @ Tracy Rd Bdg,MRIVTRACY,B9D75291273,CFB0400B0046,04/11/2000 06:30,Pheophytin a,0,1.2,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
6301,"3500 - Public, Reviewed and Validated",Middle R @ Tracy Rd Bdg,MRIVTRACY,B9D75291273,CFB0400B0042,04/11/2000 06:30,Pheophytin a,0,<0.05,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Replicate Sample,CFB0400B0046,,Sample envelope was empty. No filter.,N
6301,"3500 - Public, Reviewed and Validated",Middle River at Undine Road,MR@UNDINE,B9D75011230,CFZ0400B3813,04/11/2000 06:45,Chlorophyll a,479618,5.92,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Replicate Sample,CFB0400B0052,0052 Dup,,N
6301,"3000 - Public, Review Status Unknown",Middle River at Undine Road,MR@UNDINE,B9D75011230,CFB0400B0052,04/11/2000 06:45,Chlorophyll a,479618,5.69,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
6301,"3000 - Public, Review Status Unknown",Middle River at Undine Road,MR@UNDINE,B9D75011230,CFB0400B0052,04/11/2000 06:45,Pheophytin a,0,2.11,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
6301,"3500 - Public, Reviewed and Validated",Middle River at Undine Road,MR@UNDINE,B9D75011230,CFZ0400B3813,04/11/2000 06:45,Pheophytin a,0,1.17,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Replicate Sample,CFB0400B0052,0052 Dup,,N
6301,"3500 - Public, Reviewed and Validated",Grant Ln Can @ Tracy Rd Bdg,GLC@Tracy,B9D74921269,CFZ0400B3806,04/11/2000 06:48,Chlorophyll a,479618,7.09,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Replicate Sample,CFB0400B0045,0045 Dup,,N
6301,"3000 - Public, Review Status Unknown",Grant Ln Can @ Tracy Rd Bdg,GLC@Tracy,B9D74921269,CFB0400B0045,04/11/2000 06:48,Chlorophyll a,479618,6.87,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
6301,"3000 - Public, Review Status Unknown",Grant Ln Can @ Tracy Rd Bdg,GLC@Tracy,B9D74921269,CFB0400B0045,04/11/2000 06:48,Pheophytin a,0,1.8,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
