DataOwner,DataStatus,LongStationName,ShortStationName,StationNumber,SampleCode,CollectionDate,Analyte,CASReg_Number,Result,RptLimit,Units,Method,Depth,Matrix,SampleType,ParentSample,Description,Notes,ResultRejected
6301,"3500 - Public, Reviewed and Validated",Frank's Tract Mid Track - D19A,D19A,B9D80281359,CF0522B0613,5/12/2022 12:39,Dissolved Ammonia,7664-41-7,<0.05,0.05,mg/L as N,EPA 350.1 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
6301,"3500 - Public, Reviewed and Validated",Frank's Tract Mid Track - D19A,D19A,B9D80281359,CF0522B0613,5/12/2022 12:39,Chlorophyll a,479-61-8,2.41,0.5,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
6301,"3500 - Public, Reviewed and Validated",Frank's Tract Mid Track - D19A,D19A,B9D80281359,CF0522B0613,5/12/2022 12:39,Dissolved Nitrate + Nitrite,NO3+NO2,0.103,0.05,mg/L as N,Std Method 4500-NO3-F [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
6301,"3500 - Public, Reviewed and Validated",Frank's Tract Mid Track - D19A,D19A,B9D80281359,CF0522B0613,5/12/2022 12:39,Dissolved Organic Nitrogen,ON,0.21,0.1,mg/L as N,EPA 351.2/EPA 350.1 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
6301,"3500 - Public, Reviewed and Validated",Frank's Tract Mid Track - D19A,D19A,B9D80281359,CF0522B0613,5/12/2022 12:39,Pheophytin a,0,0.65,0.5,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
6301,"3500 - Public, Reviewed and Validated",Frank's Tract Mid Track - D19A,D19A,B9D80281359,CF0522B0613,5/12/2022 12:39,Total Kjeldahl Nitrogen,TKN,0.292,0.1,mg/L as N,EPA 351.2 [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
6301,"3500 - Public, Reviewed and Validated",Frank's Tract Mid Track - D19A,D19A,B9D80281359,CF0522B0613,5/12/2022 12:39,Dissolved ortho-Phosphate,14265-44-2,<0.05,0.05,mg/L as P,EPA 365.1 [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
6301,"3500 - Public, Reviewed and Validated",Frank's Tract Mid Track - D19A,D19A,B9D80281359,CF0622B0660,6/7/2022 11:30,Dissolved Ammonia,7664-41-7,<0.05,0.05,mg/L as N,EPA 350.1 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
6301,"3500 - Public, Reviewed and Validated",Frank's Tract Mid Track - D19A,D19A,B9D80281359,CF0622B0660,6/7/2022 11:30,Chlorophyll a,479-61-8,1.45,0.5,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
6301,"3500 - Public, Reviewed and Validated",Frank's Tract Mid Track - D19A,D19A,B9D80281359,CF0622B0660,6/7/2022 11:30,Dissolved Nitrate + Nitrite,NO3+NO2,<0.05,0.05,mg/L as N,Std Method 4500-NO3-F [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
6301,"3500 - Public, Reviewed and Validated",Frank's Tract Mid Track - D19A,D19A,B9D80281359,CF0622B0660,6/7/2022 11:30,Dissolved Organic Nitrogen,ON,0.18,0.1,mg/L as N,EPA 351.2/EPA 350.1 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
6301,"3500 - Public, Reviewed and Validated",Frank's Tract Mid Track - D19A,D19A,B9D80281359,CF0622B0660,6/7/2022 11:30,Pheophytin a,0,<0.5,0.5,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
6301,"3500 - Public, Reviewed and Validated",Frank's Tract Mid Track - D19A,D19A,B9D80281359,CF0622B0660,6/7/2022 11:30,Total Kjeldahl Nitrogen,TKN,0.262,0.1,mg/L as N,EPA 351.2 [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
6301,"3500 - Public, Reviewed and Validated",Frank's Tract Mid Track - D19A,D19A,B9D80281359,CF0622B0660,6/7/2022 11:30,Dissolved ortho-Phosphate,14265-44-2,<0.05,0.05,mg/L as P,EPA 365.1 [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
6301,"1000 - Non-Public, Review Status Unknown",Frank's Tract Mid Track - D19A,D19A,B9D80281359,CF0722B0770,7/13/2022 11:14,Dissolved Ammonia,7664-41-7,<0.05,0.05,mg/L as N,EPA 350.1 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
6301,"1000 - Non-Public, Review Status Unknown",Frank's Tract Mid Track - D19A,D19A,B9D80281359,CF0722B0770,7/13/2022 11:14,Chlorophyll a,479-61-8,1.21,0.5,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
6301,"1000 - Non-Public, Review Status Unknown",Frank's Tract Mid Track - D19A,D19A,B9D80281359,CF0722B0770,7/13/2022 11:14,Dissolved Nitrate + Nitrite,NO3+NO2,<0.05,0.05,mg/L as N,Std Method 4500-NO3-F [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
6301,"1000 - Non-Public, Review Status Unknown",Frank's Tract Mid Track - D19A,D19A,B9D80281359,CF0722B0770,7/13/2022 11:14,Dissolved Organic Nitrogen,ON,0.18,0.1,mg/L as N,EPA 351.2/EPA 350.1 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
