LongStationName,StationNumber,SampleCode,CollectionDate,Analyte,Result,SampleType
West Canal Above Clifton Court Intake,B9D74991332,CF0122B0160,2022-01-11 10:56:00,Field Dissolved Oxygen,9.18,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0122B0160,2022-01-11 10:56:00,Field Specific Conductance,499.4,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0122B0160,2022-01-11 10:56:00,Field Turbidity,4.75,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0122B0160,2022-01-11 10:56:00,Field Water Temperature,9.307,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0122B0160,2022-01-11 10:56:00,Field pH,8.13,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0222B0255,2022-02-08 10:26:00,Field Dissolved Oxygen,10.76,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0222B0255,2022-02-08 10:26:00,Field Specific Conductance,386.4,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0222B0255,2022-02-08 10:26:00,Field Turbidity,4.13,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0222B0255,2022-02-08 10:26:00,Field Water Temperature,10.182,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0222B0255,2022-02-08 10:26:00,Field pH,7.54,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0322B0333,2022-03-08 10:58:00,Field Dissolved Oxygen,9.89,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0322B0333,2022-03-08 10:58:00,Field Specific Conductance,454.3,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0322B0333,2022-03-08 10:58:00,Field Turbidity,2.58,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0322B0333,2022-03-08 10:58:00,Field Water Temperature,12.899,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0322B0333,2022-03-08 10:58:00,Field pH,7.65,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0422B0453,2022-04-12 09:26:00,Field Dissolved Oxygen,8.84,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0422B0453,2022-04-12 09:26:00,Field Specific Conductance,431.4,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0422B0453,2022-04-12 09:26:00,Field Turbidity,3.63,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0422B0453,2022-04-12 09:26:00,Field Water Temperature,16.667,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0422B0453,2022-04-12 09:26:00,Field pH,7.81,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0522B0595,2022-05-10 10:16:00,Field Dissolved Oxygen,9.31,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0522B0595,2022-05-10 10:16:00,Field Specific Conductance,402.8,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0522B0595,2022-05-10 10:16:00,Field Turbidity,3.05,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0522B0595,2022-05-10 10:16:00,Field Water Temperature,18.023,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0522B0595,2022-05-10 10:16:00,Field pH,8.07,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0622B0656,2022-06-06 09:40:00,Field Dissolved Oxygen,6.75,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0622B0656,2022-06-06 09:40:00,Field Specific Conductance,405,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0622B0656,2022-06-06 09:40:00,Field Turbidity,2.87,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0622B0656,2022-06-06 09:40:00,Field Water Temperature,22.208,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0622B0656,2022-06-06 09:40:00,Field pH,7.37,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0722B0759,2022-07-12 10:00:00,Field Dissolved Oxygen,7.02,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0722B0759,2022-07-12 10:00:00,Field Specific Conductance,596,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0722B0759,2022-07-12 10:00:00,Field Turbidity,3.11,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0722B0759,2022-07-12 10:00:00,Field Water Temperature,25.751,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0722B0759,2022-07-12 10:00:00,Field pH,7.52,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0822B0839,2022-08-09 10:02:00,Field Dissolved Oxygen,7.07,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0822B0839,2022-08-09 10:02:00,Field Specific Conductance,445.5,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0822B0839,2022-08-09 10:02:00,Field Turbidity,3.3,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0822B0839,2022-08-09 10:02:00,Field Water Temperature,24.718,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0822B0839,2022-08-09 10:02:00,Field pH,7.33,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0922B0952,2022-09-13 12:41:00,Field Dissolved Oxygen,7.02,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0922B0952,2022-09-13 12:41:00,Field Specific Conductance,454.7,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0922B0952,2022-09-13 12:41:00,Field Turbidity,3.61,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0922B0952,2022-09-13 12:41:00,Field Water Temperature,24.273,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF0922B0952,2022-09-13 12:41:00,Field pH,7.52,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF1122B1193,2022-11-08 11:01:00,Field Dissolved Oxygen,9.07,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF1122B1193,2022-11-08 11:01:00,Field Specific Conductance,568,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF1122B1193,2022-11-08 11:01:00,Field Turbidity,2.28,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF1122B1193,2022-11-08 11:01:00,Field Water Temperature,14.46,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF1122B1193,2022-11-08 11:01:00,Field pH,7.65,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF1222B1610,2022-12-13 11:05:00,Field Dissolved Oxygen,10.06,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF1222B1610,2022-12-13 11:05:00,Field Specific Conductance,661,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF1222B1610,2022-12-13 11:05:00,Field Turbidity,3.05,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF1222B1610,2022-12-13 11:05:00,Field Water Temperature,9.999,Normal Sample
West Canal Above Clifton Court Intake,B9D74991332,CF1222B1610,2022-12-13 11:05:00,Field pH,7.57,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF0122B0232,2022-01-26 09:15:00,Field Dissolved Oxygen,9.8,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF0122B0232,2022-01-26 09:15:00,Field Specific Conductance,358.8,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF0122B0232,2022-01-26 09:15:00,Field Turbidity,10.57,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF0122B0232,2022-01-26 09:15:00,Field Water Temperature,9.925,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF0122B0232,2022-01-26 09:15:00,Field pH,7.65,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF0222B0291,2022-02-16 08:21:00,Field Dissolved Oxygen,10.33,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF0222B0291,2022-02-16 08:21:00,Field Specific Conductance,339.6,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF0222B0291,2022-02-16 08:21:00,Field Turbidity,4.99,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF0222B0291,2022-02-16 08:21:00,Field Water Temperature,11.202,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF0222B0291,2022-02-16 08:21:00,Field pH,7.72,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF0322B0414,2022-03-23 07:18:00,Field Dissolved Oxygen,8.95,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF0322B0414,2022-03-23 07:18:00,Field Specific Conductance,340.3,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF0322B0414,2022-03-23 07:18:00,Field Turbidity,5.8,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF0322B0414,2022-03-23 07:18:00,Field Water Temperature,15.67,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF0322B0414,2022-03-23 07:18:00,Field pH,7.66,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF0422B0514,2022-04-25 08:10:00,Field Dissolved Oxygen,9.46,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF0422B0514,2022-04-25 08:10:00,Field Specific Conductance,339,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF0422B0514,2022-04-25 08:10:00,Field Turbidity,3.9,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF0422B0514,2022-04-25 08:10:00,Field Water Temperature,17.899,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF0422B0514,2022-04-25 08:10:00,Field pH,7.99,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF0622B0694,2022-06-16 10:17:00,Field Dissolved Oxygen,7.01,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF0622B0694,2022-06-16 10:17:00,Field Specific Conductance,444.3,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF0622B0694,2022-06-16 10:17:00,Field Turbidity,2.73,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF0622B0694,2022-06-16 10:17:00,Field Water Temperature,23.088,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF0622B0694,2022-06-16 10:17:00,Field pH,7.51,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF0722B0783,2022-07-13 08:12:00,Field Dissolved Oxygen,6.82,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF0722B0783,2022-07-13 08:12:00,Field Specific Conductance,597,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF0722B0783,2022-07-13 08:12:00,Field Turbidity,1.92,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF0722B0783,2022-07-13 08:12:00,Field Water Temperature,24.302,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF0722B0783,2022-07-13 08:12:00,Field pH,7.6,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF0822B0888,2022-08-16 09:19:00,Field Dissolved Oxygen,6.69,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF0822B0888,2022-08-16 09:19:00,Field Specific Conductance,437.3,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF0822B0888,2022-08-16 09:19:00,Field Turbidity,2.53,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF0822B0888,2022-08-16 09:19:00,Field Water Temperature,24.58,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF0822B0888,2022-08-16 09:19:00,Field pH,7.42,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF0922B0971,2022-09-20 08:37:00,Field Specific Conductance,486.2,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF0922B0971,2022-09-20 08:37:00,Field Turbidity,2.27,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF0922B0971,2022-09-20 08:37:00,Field Water Temperature,21.808,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF0922B0971,2022-09-20 08:37:00,Field pH,7.5,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF1022B1120,2022-10-13 09:27:00,Field Dissolved Oxygen,7.84,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF1022B1120,2022-10-13 09:27:00,Field Specific Conductance,598,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF1022B1120,2022-10-13 09:27:00,Field Turbidity,1.56,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF1022B1120,2022-10-13 09:27:00,Field Water Temperature,20.927,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF1022B1120,2022-10-13 09:27:00,Field pH,7.4,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF1122B1236,2022-11-22 10:55:00,Field Dissolved Oxygen,10.57,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF1122B1236,2022-11-22 10:55:00,Field Specific Conductance,685,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF1122B1236,2022-11-22 10:55:00,Field Turbidity,0.98,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF1122B1236,2022-11-22 10:55:00,Field Water Temperature,11.34,Normal Sample
Werner Dredger Cut near Palm Tract,B9D75781357,CF1122B1236,2022-11-22 10:55:00,Field pH,7.74,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF0122B0231,2022-01-26 11:12:00,Field Dissolved Oxygen,9.51,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF0122B0231,2022-01-26 11:12:00,Field Specific Conductance,335.9,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF0122B0231,2022-01-26 11:12:00,Field Turbidity,7.99,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF0122B0231,2022-01-26 11:12:00,Field Water Temperature,9.898,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF0122B0231,2022-01-26 11:12:00,Field pH,7.46,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF0222B0290,2022-02-16 09:50:00,Field Dissolved Oxygen,10.18,Normal Sample
