"","x"
"1","Old River at DMC - Above Barrier"
"2","Old River at DMC - Above Barrier"
"3","Paradise Cut"
"4","Bethel Island"
"5","Holland Cut at Holland Marina"
"6","Old River at TWA"
"7","Old River at TWA"
"8","Paradise Cut Upsteram"
"9","Paradise Cut Upsteram"
"10","Tom Pain Slough abv Intake"
"11","Old River near Head"
"12","Old River above Doughty Cut"
"13","Doughty Cut above GLC"
"14","Grant Line Canal East"
"15","GLC near Clifton Court Forebay"
"16","GLC at Tracy Blvd"
"17","Victoria Canal"
"18","Old River at Quimby Island"
"19","Rock Slough at CCWD/Trash Rack"
"20","Werner Dredger Cut near Palm Tract"
"21","Turner Cut near Holt"
"22","Rock Slough at Delta Road Bridge"
"23","Old River at TWA"
"24","Tom Pain Slough abv Intake"
"25","Paradise Cut Upsteram"
"26","Steamboat Slough near Sacramento River"
"27","Miner Slough near Sacramento River"
"28","Truckee River above Truckee Tahoe Sanitary Agency"
"29","Truckee River at bBridge 8"
"30","Middle River at Undine Road"
"31","Middle River at Howard Road"
"32","Middle River near Tracy Blvd"
"33","Old River above Doughty Cut"
"34","Grant Line Canal East"
"35","Sugar Cut"
"36","Paradise Cut"
"37","Doughty Cut above GLC"
"38","Fisherman's Cut"
"39","Mokelumne River near Hwy 12"
"40","Old River near Franks Tract"
"41","Three Mile Slough near SJR"
"42","Holland Cut near Bethel Island"
"43","Truckee River at bBridge 8"
"44","Bethel Island"
"45","Holland Cut at Holland Marina"
"46","Sacramento River downstream of Isleton"
"47","Blind Point"
"48","Miner Slough near Sacramento River"
"49","Turner Cut near Holt"
"50","Old River at Quimby Island"
"51","Paradise Cut Upsteram"
"52","Middle River near Holt"
"53","Tom Pain Slough abv Intake"
"54","Old River at TWA"
"55","Old River at DMC - Above Barrier"
"56","Truckee River above Truckee Tahoe Sanitary Agency"
"57","Truckee River at Farad"
"58","Little Truckee above Boca"
