"Station","DateTime.PT","Depth.feet","Temp.C","SpCond.uS","pH","ODOsat..","ODO.mg.L","Turbid..NTU","Chl.ug.L","Chl.RFU","Date"
"16",2012-05-08 11:19:53,1.039,16.73,138,7.56,94,9.14,18.7,NA,NA,2012-05-08
"34",2012-05-08 11:58:55,1.049,16.82,137,7.64,96,9.31,15,NA,NA,2012-05-08
"44",2012-05-08 12:34:22,1.074,17.02,157,7.48,95.6,9.23,16.4,NA,NA,2012-05-08
"56",2012-05-08 13:02:00,1.006,17.92,308,7.77,94.7,8.97,26,NA,NA,2012-05-08
"62",2012-05-08 13:25:31,0.988,19.02,598,8.11,97.5,9.03,27.9,NA,NA,2012-05-08
"66",2012-05-08 13:50:37,1.116,18.88,848,8.23,100,9.28,22.7,NA,NA,2012-05-08
"70",2012-05-08 14:14:38,1.003,19.02,1043,8.23,98,9.06,13.8,NA,NA,2012-05-08
"74",2012-05-08 14:30:38,1.035,20.87,1097,8.24,101,8.99,11.6,NA,NA,2012-05-08
"74",2012-05-08 14:30:38,1.035,20.87,1097,8.24,101,8.99,11.6,NA,NA,2012-05-08
"74",2012-05-08 14:34:48,2.036,19.94,1095,8.26,98,8.9,11.6,NA,NA,2012-05-08
"74",2012-05-08 14:35:28,3.005,19.77,1094,8.26,98.8,8.99,11.5,NA,NA,2012-05-08
"74",2012-05-08 14:35:54,4.09,19.73,1095,8.26,98.8,9,11.5,NA,NA,2012-05-08
"74",2012-05-08 14:36:36,5.017,19.46,1094,8.25,96.4,8.83,11.3,NA,NA,2012-05-08
"74",2012-05-08 14:37:06,6.084,19.14,1095,8.23,93.9,8.65,11.4,NA,NA,2012-05-08
"76",2012-05-08 14:51:02,1.01,20.38,1098,8.21,94.4,8.49,7.3,NA,NA,2012-05-08
"84",2012-05-08 15:06:51,1.055,21.25,1061,8.2,96.8,8.56,6.9,NA,NA,2012-05-08
"WSP",2012-05-08 15:28:59,1.056,20.88,703,7.99,91.8,8.19,6.6,NA,NA,2012-05-08
"WSP",2012-05-08 15:28:59,1.056,20.88,703,7.99,91.8,8.19,6.6,NA,NA,2012-05-08
"WSP",2012-05-08 15:34:09,2.029,21.32,718,8.07,96.9,8.57,6.4,NA,NA,2012-05-08
"WSP",2012-05-08 15:34:50,3.029,19.83,709,7.95,86.3,7.86,8,NA,NA,2012-05-08
"WSP",2012-05-08 15:35:49,3.916,19.12,710,7.84,79.3,7.32,8.5,NA,NA,2012-05-08
"WSP",2012-05-08 15:36:45,5.037,18.86,752,7.83,77,7.15,8.9,NA,NA,2012-05-08
"WSP",2012-05-08 15:37:37,5.051,19.52,694,7.85,80.2,7.35,8.1,NA,NA,2012-05-08
"16",2012-06-13 11:40:28,1.127,20.61,175,7.69,96.2,8.64,NA,2.5,0.6,2012-06-13
"16",2012-06-13 11:42:11,4.102,20.61,175,7.05,92.4,8.3,NA,3.5,0.8,2012-06-13
"16",2012-06-13 11:43:22,10.898,20.52,176,7.22,91.8,8.26,NA,3.7,0.9,2012-06-13
"16",2012-06-13 11:44:08,20.464,20.47,183,7.29,91.8,8.27,NA,3.5,0.8,2012-06-13
"16",2012-06-13 11:44:48,24.992,20.47,184,7.33,91.9,8.27,NA,3.7,0.9,2012-06-13
"34",2012-06-13 12:16:41,1.015,20.9055555555556,165,7.39,92.2,8.23,NA,2.1,0.5,2012-06-13
"34",2012-06-13 12:17:19,5.107,20.6777777777778,166,7.4,91,8.16,NA,2.2,0.5,2012-06-13
"34",2012-06-13 12:18:02,9.998,20.6222222222222,166,7.37,90.1,8.09,NA,2.3,0.5,2012-06-13
"34",2012-06-13 12:18:55,20.031,20.6222222222222,165,7.36,89.7,8.05,NA,2.6,0.6,2012-06-13
"34",2012-06-13 12:19:35,25.466,20.6222222222222,165,7.37,89.4,8.03,NA,2.5,0.6,2012-06-13
"44",2012-06-13 12:44:46,1.036,20.6,172,7.69,89.4,8.03,NA,2.3,0.5,2012-06-13
"44",2012-06-13 12:45:59,5.383,20.58,174,7.33,90.8,8.16,NA,2.7,0.6,2012-06-13
"44",2012-06-13 12:46:38,10.144,20.59,174,7.4,90.6,8.14,NA,3,0.7,2012-06-13
"44",2012-06-13 12:47:36,18.752,20.57,174,7.41,90.2,8.11,NA,2.7,0.6,2012-06-13
"44",2012-06-13 12:48:35,32.308,20.56,175,7.42,89.7,8.06,NA,2.8,0.7,2012-06-13
"44",2012-06-13 12:49:23,38.606,20.57,174,7.44,89.5,8.04,NA,2.9,0.7,2012-06-13
"Pro",2012-06-13 13:19:46,1.001,21.17,239,7.98,94.7,8.41,NA,7.1,1.7,2012-06-13
"Pro",2012-06-13 13:20:28,2.042,21.12,239,7.84,94.3,8.38,NA,7.1,1.7,2012-06-13
"Pro",2012-06-13 13:21:02,3.071,21.07,239,7.8,94,8.37,NA,7,1.6,2012-06-13
"Pro",2012-06-13 13:21:38,4.04,21.04,239,7.81,93.9,8.36,NA,7.4,1.7,2012-06-13
"Pro",2012-06-13 13:22:11,5.145,21.04,239,7.83,93.8,8.35,NA,7.5,1.8,2012-06-13
"Pro",2012-06-13 13:22:47,9.974,21.01,239,7.86,93.6,8.34,NA,7.9,1.9,2012-06-13
"Pro",2012-06-13 13:23:23,15.008,21,239,7.87,93.4,8.32,NA,8.2,1.9,2012-06-13
"Pro",2012-06-13 13:24:19,20.675,20.98,239,7.88,93.1,8.3,NA,10.7,2.5,2012-06-13
"56",2012-06-13 13:56:59,1.029,21.4277777777778,219,7.73,94.8,8.38,NA,3,0.7,2012-06-13
"56",2012-06-13 13:58:06,2.021,21.2777777777778,220,7.68,94.1,8.34,NA,4,1,2012-06-13
"56",2012-06-13 13:58:53,2.926,21.1555555555556,222,7.66,93.5,8.31,NA,3.9,0.9,2012-06-13
"56",2012-06-13 13:59:43,4.097,21.1111111111111,221,7.67,93.3,8.29,NA,4.2,1,2012-06-13
"56",2012-06-13 14:00:17,4.954,21.0833333333333,221,7.69,93.1,8.28,NA,4,1,2012-06-13
"56",2012-06-13 14:01:01,10.371,20.9333333333333,223,7.69,92.7,8.28,NA,3.9,0.9,2012-06-13
"56",2012-06-13 14:01:43,20.206,20.7944444444444,228,7.65,91.4,8.18,NA,3.9,0.9,2012-06-13
"56",2012-06-13 14:02:44,29.892,20.7666666666667,230,7.62,91,8.14,NA,3.8,0.9,2012-06-13
"56",2012-06-13 14:03:34,34.389,20.7722222222222,231,7.62,90.8,8.13,NA,3.6,0.9,2012-06-13
"62",2012-06-13 14:25:38,1.042,21.18,420,8.02,95.8,8.5,NA,4.1,1,2012-06-13
"62",2012-06-13 14:26:16,2,21.34,415,7.97,96.2,8.51,NA,4.8,1.1,2012-06-13
"62",2012-06-13 14:26:52,3.032,21.25,418,7.97,96.1,8.51,NA,4.7,1.1,2012-06-13
"62",2012-06-13 14:27:17,4.007,21.23,420,7.98,95.9,8.5,NA,5.1,1.2,2012-06-13
"62",2012-06-13 14:27:41,5.018,21.24,419,7.99,95.7,8.48,NA,4.7,1.1,2012-06-13
"62",2012-06-13 14:28:17,10.293,21.05,427,7.96,94.9,8.45,NA,4.6,1.1,2012-06-13
"62",2012-06-13 14:29:01,20.031,20.89,434,7.97,93.9,8.38,NA,5,1.2,2012-06-13
"62",2012-06-13 14:29:50,29.933,20.86,439,7.91,93.7,8.36,NA,5.1,1.2,2012-06-13
"66",2012-06-13 14:49:01,1.084,21.51,682,8.33,105.4,9.28,NA,5.5,0.4,2012-06-13
"66",2012-06-13 14:49:40,2.092,21.47,683,8.27,101,8.91,NA,7.5,1.8,2012-06-13
"66",2012-06-13 14:50:14,3.023,21.3,684,8.23,100.1,8.85,NA,6.5,1.5,2012-06-13
"66",2012-06-13 14:50:46,3.983,21.22,685,8.23,99.1,8.78,NA,5.8,1.4,2012-06-13
"66",2012-06-13 14:51:15,5.033,21.03,686,8.21,97.9,8.7,NA,4.9,1.2,2012-06-13
"66",2012-06-13 14:51:55,10.075,20.78,689,8.2,96.2,8.6,NA,5.3,1.2,2012-06-13
"66",2012-06-13 14:52:35,20.002,20.75,694,8.2,95.4,8.53,NA,4.9,1.2,2012-06-13
"66",2012-06-13 14:53:19,30.455,20.73,699,8.2,94.9,8.49,NA,5.6,1.3,2012-06-13
"66",2012-06-13 14:54:44,34.774,20.68,712,7.82,82.6,7.4,NA,3.9,0.9,2012-06-13
"70",2012-06-13 15:11:53,1.035,23.0166666666667,947,8.45,112.7,9.64,NA,13.4,3.2,2012-06-13
"70",2012-06-13 15:12:23,2.047,23.3,950,8.46,118.5,10.08,NA,16.8,4,2012-06-13
"70",2012-06-13 15:13:05,2.981,22.1388888888889,957,8.41,112.5,9.79,NA,12.1,2.9,2012-06-13
