Date,Time,Station_Number,Depth,Discrete_Chlorophyll,Calculated_Chlorophyll,Discrete_Oxygen,Calculated_Oxygen,Discrete_SPM,Calculated_SPM,Extinction_Coefficient,Salinity,Temperature,Nitrite,Nitrate_+_Nitrite,Ammonium,Phosphate,Silicate
1/21/16,629,36,1,5.0,5.2,7.9,8.0,107.4,110,,23.29,13.06,3.38,71.39,14.85,7.88,94.86
1/21/16,629,36,2,,4.8,,8.0,,118,,23.50,13.06,,,,,
1/21/16,629,36,3,,4.8,,8.0,,117,,23.60,13.06,,,,,
1/21/16,629,36,4,,4.8,,8.0,,122,,23.67,13.06,,,,,
1/21/16,629,36,5,4.8,5.2,,8.0,,124,,23.66,13.06,,,,,
1/21/16,638,35,1,4.9,4.8,,8.1,,54,,24.87,12.80,,,,,
1/21/16,638,35,2,,4.4,,8.1,,68,,25.07,12.79,,,,,
1/21/16,638,35,3,,4.1,,8.1,,77,,25.37,12.77,,,,,
1/21/16,638,35,4,,4.0,,8.1,,86,,25.53,12.76,,,,,
1/21/16,638,35,5,,4.0,,8.1,,92,,25.60,12.76,,,,,
1/21/16,638,35,6,,4.1,,8.1,,95,,25.62,12.76,,,,,
1/21/16,638,35,7,,4.1,,8.1,,95,,25.63,12.76,,,,,
1/21/16,638,35,8,,4.1,,8.1,,98,,25.63,12.76,,,,,
1/21/16,638,35,9,,4.1,,8.1,,92,,25.62,12.76,,,,,
1/21/16,651,34,1,4.0,3.9,,8.1,30.1,24,,25.91,12.54,,,,,
1/21/16,651,34,2,,4.0,,8.1,,100,,26.81,12.47,,,,,
1/21/16,651,34,3,5.3,4.8,,8.2,,201,,27.03,12.44,,,,,
1/21/16,703,33,1,,3.9,,8.2,,17,,25.85,12.58,,,,,
1/21/16,703,33,2,,3.4,,8.2,,17,,26.50,12.49,,,,,
1/21/16,703,33,3,,3.1,,8.2,,18,,26.90,12.44,,,,,
1/21/16,703,33,4,,2.9,,8.2,,20,,27.04,12.41,,,,,
1/21/16,703,33,5,,2.8,,8.2,,21,,27.24,12.37,,,,,
1/21/16,703,33,6,,2.8,,8.2,,22,,27.29,12.34,,,,,
1/21/16,703,33,7,,2.7,,8.3,,22,,27.30,12.27,,,,,
1/21/16,703,33,8,,2.6,,8.2,,24,,27.48,12.23,,,,,
1/21/16,703,33,9,,2.6,,8.2,,35,,27.93,12.15,,,,,
1/21/16,703,33,10,,2.7,,8.2,,73,,28.14,12.11,,,,,
1/21/16,703,33,11,,2.9,,8.2,,82,,28.21,12.10,,,,,
1/21/16,703,33,12,,3.2,,8.2,,92,,28.30,12.09,,,,,
1/21/16,703,33,13,,3.2,,8.2,,108,,28.37,12.08,,,,,
1/21/16,703,33,14,,3.2,,8.2,,115,,28.38,12.08,,,,,
1/21/16,712,32,1,3.1,3.0,8.2,8.2,15.2,20,,27.06,12.23,2.15,39.98,13.14,5.49,67.06
1/21/16,712,32,2,,3.0,,8.2,,23,,27.10,12.25,,,,,
1/21/16,712,32,3,,3.1,,8.2,,26,,27.24,12.26,,,,,
1/21/16,712,32,4,,3.0,,8.2,,31,,27.59,12.24,,,,,
1/21/16,712,32,5,,2.9,,8.2,,42,,28.35,12.09,,,,,
1/21/16,712,32,6,,2.8,,8.2,,61,,28.40,12.07,,,,,
1/21/16,712,32,7,,2.8,,8.3,,78,,28.48,12.06,,,,,
1/21/16,712,32,8,,2.9,,8.3,,93,,28.51,12.05,,,,,
1/21/16,712,32,9,,3.0,,8.3,,104,,28.52,12.05,,,,,
1/21/16,712,32,10,,2.9,,8.3,,107,,28.53,12.05,,,,,
1/21/16,712,32,11,,2.9,,8.3,,116,,28.56,12.04,,,,,
1/21/16,712,32,12,2.8,2.9,,8.3,130.9,128,,28.56,12.04,,,,,
1/21/16,732,30,1,2.4,2.0,8.3,8.3,11.5,13,1.31,28.79,11.89,2.66,41.91,16.99,6.26,76.92
1/21/16,732,30,2,,1.9,,8.3,,17,,29.04,11.85,,,,,
1/21/16,732,30,3,,2.0,,8.3,,22,,29.11,11.83,,,,,
1/21/16,732,30,4,,2.0,,8.3,,24,,29.12,11.83,,,,,
1/21/16,732,30,5,,2.1,,8.3,,25,,29.13,11.82,,,,,
1/21/16,732,30,6,,2.1,,8.3,,28,,29.13,11.82,,,,,
1/21/16,732,30,7,,2.1,,8.3,,28,,29.13,11.82,,,,,
1/21/16,732,30,8,,2.2,,8.3,,29,,29.13,11.82,,,,,
1/21/16,732,30,9,,2.2,,8.3,,29,,29.13,11.82,,,,,
1/21/16,732,30,10,,2.2,,8.3,,30,,29.13,11.82,,,,,
1/21/16,732,30,11,,2.2,,8.3,,30,,29.13,11.82,,,,,
1/21/16,732,30,12,,2.3,,8.3,,30,,29.13,11.82,,,,,
1/21/16,732,30,13,,2.3,,8.3,,34,,29.13,11.82,,,,,
1/21/16,732,30,14,2.0,2.3,,8.3,34.7,35,,29.13,11.82,,,,,
1/21/16,751,29,1,,2.2,,8.3,,29,2.38,29.30,11.67,,,,,
1/21/16,751,29,2,,2.2,,8.3,,31,,29.30,11.68,,,,,
1/21/16,751,29,3,,2.2,,8.3,,32,,29.30,11.68,,,,,
1/21/16,751,29,4,,2.2,,8.3,,32,,29.30,11.68,,,,,
1/21/16,751,29,5,,2.2,,8.3,,33,,29.30,11.68,,,,,
1/21/16,751,29,6,,2.2,,8.3,,34,,29.30,11.68,,,,,
1/21/16,751,29,7,,2.3,,8.3,,35,,29.30,11.68,,,,,
1/21/16,751,29,8,,2.3,,8.3,,35,,29.30,11.68,,,,,
1/21/16,751,29,9,,2.3,,8.3,,35,,29.30,11.68,,,,,
1/21/16,751,29,10,,2.3,,8.3,,36,,29.30,11.68,,,,,
1/21/16,751,29,11,,2.3,,8.3,,37,,29.30,11.68,,,,,
1/21/16,751,29,12,,2.3,,8.3,,36,,29.30,11.68,,,,,
1/21/16,751,29,13,,2.3,,8.3,,36,,29.30,11.68,,,,,
1/21/16,751,29,14,,2.4,,8.3,,36,,29.30,11.68,,,,,
1/21/16,751,29,15,,2.4,,8.3,,37,,29.30,11.68,,,,,
1/21/16,751,29,16,,2.3,,8.3,,38,,29.30,11.68,,,,,
1/21/16,803,28,1,,2.0,,8.3,,24,1.92,29.26,11.67,,,,,
1/21/16,803,28,2,,2.0,,8.3,,24,,29.26,11.66,,,,,
1/21/16,803,28,3,,2.1,,8.3,,25,,29.26,11.67,,,,,
1/21/16,803,28,4,,2.0,,8.3,,27,,29.26,11.67,,,,,
1/21/16,803,28,5,,2.1,,8.3,,28,,29.26,11.67,,,,,
1/21/16,803,28,6,,2.1,,8.3,,31,,29.26,11.67,,,,,
1/21/16,803,28,7,,2.1,,8.3,,31,,29.26,11.67,,,,,
1/21/16,803,28,8,,2.1,,8.3,,31,,29.26,11.67,,,,,
1/21/16,803,28,9,,2.2,,8.3,,32,,29.26,11.66,,,,,
1/21/16,803,28,10,,2.2,,8.3,,34,,29.26,11.66,,,,,
1/21/16,803,28,11,,2.2,,8.3,,35,,29.26,11.66,,,,,
1/21/16,803,28,12,,2.2,,8.3,,36,,29.26,11.66,,,,,
1/21/16,803,28,13,,2.3,,8.3,,37,,29.26,11.66,,,,,
1/21/16,803,28,14,,2.3,,8.3,,38,,29.26,11.66,,,,,
1/21/16,803,28,15,,2.4,,8.3,,39,,29.26,11.66,,,,,
1/21/16,813,27,1,2.0,2.1,8.3,8.3,21.5,22,1.67,29.19,11.62,1.29,19.06,13.56,2.79,33.33
1/21/16,813,27,2,,2.0,,8.3,,22,,29.19,11.62,,,,,
1/21/16,813,27,3,,2.0,,8.3,,22,,29.19,11.62,,,,,
1/21/16,813,27,4,,1.9,,8.3,,22,,29.19,11.62,,,,,
1/21/16,813,27,5,,1.9,,8.3,,22,,29.19,11.62,,,,,
1/21/16,813,27,6,,1.9,,8.3,,22,,29.19,11.62,,,,,
1/21/16,813,27,7,,1.9,,8.3,,22,,29.19,11.62,,,,,
1/21/16,813,27,8,,2.0,,8.3,,22,,29.19,11.62,,,,,
1/21/16,813,27,9,,2.0,,8.3,,23,,29.19,11.62,,,,,
1/21/16,813,27,10,,2.0,,8.3,,23,,29.19,11.62,,,,,
1/21/16,813,27,11,,2.0,,8.3,,24,,29.19,11.63,,,,,
1/21/16,813,27,12,,2.1,,8.3,,24,,29.19,11.62,,,,,
1/21/16,813,27,13,1.8,2.1,,8.3,22.3,24,,29.19,11.63,,,,,
1/21/16,826,26,1,,1.8,,8.3,,16,1.48,28.80,11.61,,,,,
1/21/16,826,26,2,,1.8,,8.3,,18,,28.82,11.62,,,,,
1/21/16,826,26,3,,1.7,,8.3,,22,,28.82,11.62,,,,,
1/21/16,826,26,4,,1.7,,8.3,,24,,28.86,11.62,,,,,
1/21/16,826,26,5,,1.8,,8.3,,25,,28.86,11.62,,,,,
1/21/16,826,26,6,,1.8,,8.3,,27,,28.88,11.61,,,,,
1/21/16,826,26,7,,1.8,,8.3,,30,,28.89,11.61,,,,,
1/21/16,826,26,8,,2.0,,8.3,,31,,28.90,11.61,,,,,
1/21/16,826,26,9,,2.0,,8.3,,44,,28.91,11.61,,,,,
1/21/16,826,26,10,,1.8,,8.3,,36,,28.92,11.61,,,,,
1/21/16,826,26,11,,1.8,,8.3,,32,,28.93,11.61,,,,,
1/21/16,826,26,12,,1.9,,8.3,,32,,28.93,11.61,,,,,
1/21/16,839,25,1,,2.0,,8.3,,32,2.52,28.24,11.75,,,,,
1/21/16,839,25,2,,2.0,,8.3,,37,,28.25,11.74,,,,,
1/21/16,839,25,3,,2.0,,8.3,,38,,28.24,11.74,,,,,
1/21/16,839,25,4,,2.0,,8.3,,38,,28.25,11.74,,,,,
1/21/16,839,25,5,,1.9,,8.3,,39,,28.26,11.74,,,,,
1/21/16,839,25,6,,2.0,,8.3,,41,,28.28,11.73,,,,,
1/21/16,839,25,7,,2.0,,8.3,,42,,28.28,11.73,,,,,
1/21/16,839,25,8,,2.0,,8.3,,42,,28.28,11.73,,,,,
1/21/16,850,24,1,1.8,1.7,8.3,8.3,23.8,24,2.14,28.10,11.79,0.90,12.57,11.07,2.35,29.49
1/21/16,850,24,2,,1.8,,8.3,,28,,28.10,11.79,,,,,
1/21/16,850,24,3,,1.8,,8.3,,29,,28.10,11.79,,,,,
1/21/16,850,24,4,,1.8,,8.3,,32,,28.10,11.79,,,,,
1/21/16,850,24,5,,1.9,,8.3,,35,,28.11,11.79,,,,,
1/21/16,850,24,6,,1.9,,8.3,,36,,28.11,11.79,,,,,
1/21/16,850,24,7,,1.9,,8.3,,38,,28.11,11.79,,,,,
1/21/16,850,24,8,,2.0,,8.3,,39,,28.11,11.79,,,,,
1/21/16,850,24,9,,2.0,,8.3,,40,,28.11,11.79,,,,,
1/21/16,850,24,10,,2.1,,8.3,,41,,28.11,11.79,,,,,
1/21/16,850,24,11,,2.0,,8.3,,42,,28.11,11.79,,,,,
1/21/16,850,24,12,1.9,2.1,,8.3,59.3,43,,28.11,11.79,,,,,
1/21/16,902,23,1,,1.6,,8.4,,25,1.92,28.56,12.04,,,,,
1/21/16,902,23,2,,1.7,,8.4,,26,,28.56,12.04,,,,,
1/21/16,902,23,3,,1.7,,8.4,,27,,28.58,12.04,,,,,
1/21/16,902,23,4,,1.7,,8.4,,28,,28.60,12.05,,,,,
1/21/16,902,23,5,,1.7,,8.4,,30,,28.63,12.06,,,,,
1/21/16,902,23,6,,1.7,,8.4,,33,,28.64,12.06,,,,,
