Source,Station,Latitude,Longitude,Date,Datetime,Chlorophyll,DissAmmonia,DissNitrateNitrite,DOC,DissOrthophos
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1974-07-25,1974-07-25T14:35:00Z,NA,NA,0.93,NA,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1974-01-29,1974-01-29T15:00:00Z,NA,NA,0.43,NA,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1974-08-22,1974-08-22T14:50:00Z,NA,NA,0.94,NA,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2016-08-10,2016-08-10T18:00:00Z,NA,0.01,NA,1.65,0.02
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1974-04-18,1974-04-18T14:30:00Z,NA,NA,0.64,NA,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1973-08-16,1973-08-16T15:30:00Z,NA,NA,1.1,NA,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1973-07-19,1973-07-19T14:15:00Z,NA,NA,0.93,NA,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1972-07-20,1972-07-20T15:45:00Z,NA,NA,0.79,NA,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2008-03-11,2008-03-11T17:50:00Z,NA,NA,0.24,2.13,0.03
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1972-06-23,1972-06-23T14:45:00Z,NA,NA,0.22,NA,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1971-05-13,1971-05-13T15:55:00Z,NA,NA,1,NA,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,2008-10-28,2008-10-28T18:15:00Z,NA,NA,2.1,2.57,0.09
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1971-06-10,1971-06-10T15:45:00Z,NA,NA,0.7,NA,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2013-08-12,2013-08-12T20:30:00Z,NA,NA,NA,1.4,0.02
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1972-10-19,1972-10-19T14:00:00Z,NA,NA,0.9,NA,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1974-09-19,1974-09-19T14:00:00Z,NA,NA,0.55,NA,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1974-06-20,1974-06-20T13:45:00Z,NA,NA,0.6,NA,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1992-07-08,1992-07-08T21:00:00Z,NA,0.02,1.4,4.6,0.06
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1974-03-21,1974-03-21T14:30:00Z,NA,NA,2.3,NA,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1974-05-24,1974-05-24T15:00:00Z,NA,NA,0.75,NA,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1972-08-10,1972-08-10T18:00:00Z,NA,NA,0.61,NA,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1974-02-22,1974-02-22T14:40:00Z,NA,NA,0.84,NA,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,2008-06-06,2008-06-06T20:00:00Z,NA,NA,1.24,NA,0.03
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1973-05-17,1973-05-17T14:30:00Z,NA,NA,0.68,NA,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1971-09-14,1971-09-14T22:00:00Z,NA,NA,0.84,NA,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1973-10-18,1973-10-18T14:45:00Z,NA,NA,0.92,NA,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1992-06-17,1992-06-18T00:20:00Z,NA,NA,0.28,4.6,0.02
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1992-07-22,1992-07-22T21:30:00Z,NA,0.01,0.96,6.3,0.06
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1973-09-20,1973-09-20T13:45:00Z,NA,NA,1.4,NA,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1973-06-15,1973-06-15T14:00:00Z,NA,NA,0.52,NA,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1971-10-14,1971-10-14T22:00:00Z,NA,NA,1.3,NA,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1971-05-19,1971-05-19T18:00:00Z,NA,NA,0.17,NA,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,2009-07-07,2009-07-07T17:00:00Z,NA,NA,0.69,NA,0.04
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1972-09-21,1972-09-21T15:30:00Z,NA,NA,0.64,NA,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1971-06-16,1971-06-16T18:45:00Z,NA,NA,0.08,NA,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1992-08-05,1992-08-05T18:40:00Z,NA,0.03,0.95,NA,0.05
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1978-08-02,1978-08-02T20:00:00Z,NA,NA,NA,5.5,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,2016-04-19,2016-04-19T18:30:00Z,NA,NA,0.37,3.04,0.05
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1978-08-17,1978-08-17T17:15:00Z,NA,NA,NA,2,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1978-05-05,1978-05-05T17:15:00Z,NA,NA,NA,1.4,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2009-08-26,2009-08-26T18:30:00Z,NA,NA,NA,2.35,0.023
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1978-05-02,1978-05-02T21:30:00Z,NA,NA,NA,2.6,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1979-08-23,1979-08-23T18:00:00Z,NA,NA,NA,4.1,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,2009-03-10,2009-03-10T16:45:00Z,NA,0.17,1.39,6.21,0.18
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1979-09-19,1979-09-19T20:25:00Z,NA,NA,1.2,NA,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1979-09-13,1979-09-13T17:00:00Z,NA,NA,0.09,NA,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,2009-03-25,2009-03-25T17:25:00Z,NA,0.01,1.33,4.32,0.09
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1979-10-15,1979-10-15T22:00:00Z,NA,0.1,0.7,4.1,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1979-05-15,1979-05-15T17:45:00Z,NA,NA,NA,2.4,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,2018-07-11,2018-07-11T17:00:00Z,NA,0.02,0.971,2.28,0.052
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1979-10-17,1979-10-17T17:00:00Z,NA,0.21,0.12,NA,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,2001-10-04,2001-10-04T18:00:00Z,10.3,NA,1.91,3.3,0.11
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1979-07-24,1979-07-24T18:00:00Z,NA,NA,NA,4.6,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1980-07-07,1980-07-07T20:00:00Z,NA,0.03,0.89,4.4,NA
